Orden,year,Valor
Corporación Autónoma,2017,27622039.147058822
Corporación Autónoma,2018,47901812.716253445
Corporación Autónoma,2019,52861754.36749717
Corporación Autónoma,2020,50885099.93449335
Corporación Autónoma,2021,38063476.03102337
Nacional,2015,155388057.3
Nacional,2016,47545670.823212914
Nacional,2017,53522246.33805483
Nacional,2018,49186032.318007514
Nacional,2019,57809519.580198236
Nacional,2020,57324177.25568168
Nacional,2021,47885729.60495848
Territorial,2016,40844793.833333336
Territorial,2017,40449779.34826062
Territorial,2018,39133917.301083304
Territorial,2019,45521170.77943692
Territorial,2020,31949708.01681673
Territorial,2021,31856018.271274045
